REGNE,CLASSE,ORDRE,FAMILLE,SOUS_FAMILLE,CD_SUP,CD_REF,RANG,LB_NOM,NOM_VERN,NOM_VERN_ENG
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853337,ES,Calathea albicans,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853337,ES,Calathea albicans,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853309,ES,Calathea allouia,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853320,ES,Calathea altissima,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853415,ES,Calathea barbillana,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853321,ES,Calathea comosa,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,731931,ES,Calathea composita,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,446231,447840,ES,Calathea crotalifera,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853332,ES,Calathea cyclophora,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853401,ES,Calathea cyclophora,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853323,ES,Calathea cylindrica,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853309,ES,Calathea cylindrica,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853403,ES,Calathea densa,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853325,ES,Calathea dilabens,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,629229,ES,Calathea discolor,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,731931,ES,Calathea dubia,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853326,ES,Calathea elliptica,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853327,ES,Calathea erecta,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,187955,446231,GN,Calathea,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,883895,ES,Calathea gardneri,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853352,ES,Calathea gigas,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853328,ES,Calathea grandis,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853329,ES,Calathea granvillei,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853348,ES,Calathea hirsuta,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853415,ES,Calathea inocephala,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853415,ES,Calathea inocephala,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,447840,ES,Calathea insignis,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853337,ES,Calathea klugii,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,731929,ES,Calathea laxa,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853330,ES,Calathea legrelleana,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853403,ES,Calathea legrelleana,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,731917,ES,Calathea leucophaea,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853355,ES,Calathea lietzei,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853356,ES,Calathea louisae,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,446231,629229,ES,Calathea lutea,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853332,ES,Calathea maasiorum,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,629229,ES,Calathea magnifica,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853352,ES,Calathea majestica,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853333,ES,Calathea makoyana,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853336,ES,Calathea mansoi,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853336,ES,Calathea mansonis,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853357,ES,Calathea martinicensis,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853337,ES,Calathea micans,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853337,VAR,Calathea micans var. amabilis,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853339,ES,Calathea microcephala,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853382,ES,Calathea orbifolia,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853353,ES,Calathea ornata,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853340,ES,Calathea ovata,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853348,ES,Calathea pardina,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,731931,ES,Calathea parkeri,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853341,ES,Calathea picturata,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853342,ES,Calathea propinqua,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853358,ES,Calathea roseopicta,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853382,ES,Calathea rotundifolia,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853379,ES,Calathea rotundifolia,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,883895,ES,Calathea saxicola,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,731931,ES,Calathea spicata,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853345,ES,Calathea splendida,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853346,ES,Calathea squarrosa,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853341,ES,Calathea vandenheckei,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853430,ES,Calathea variegata,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853430,ES,Calathea variegata,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853393,ES,Calathea veitchiana,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853348,ES,Calathea villosa,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853348,VAR,Calathea villosa var. pardina,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853326,ES,Calathea vittata,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853395,ES,Calathea warscewiczii,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853396,ES,Calathea wiotiana,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853396,ES,Calathea wiotii,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853308,ES,Calathea zebrina,,
Plantae,Equisetopsida,Zingiberales,Marantaceae,,,853349,ES,Calathea zingiberina,,
Plantae,Equisetopsida,Asparagales,Asparagaceae,,446099,807523,ES,Sansevieria canaliculata,,
Plantae,Equisetopsida,Asparagales,Asparagaceae,,446099,447702,ES,Sansevieria cylindrica,,
Plantae,Equisetopsida,Asparagales,Asparagaceae,,,447694,ES,Sansevieria fragrans,"Dracaena, Dragonnier",
Plantae,Equisetopsida,Asparagales,Asparagaceae,,,630598,ES,Sansevieria guineensis,,
Plantae,Equisetopsida,Asparagales,Asparagaceae,,,448719,ES,Sansevieria hahnii,,
Plantae,Equisetopsida,Asparagales,Asparagaceae,,446099,630598,ES,Sansevieria hyacinthoides,,
Plantae,Equisetopsida,Asparagales,Asparagaceae,,,630598,ES,Sansevieria latifolia,,
Plantae,Equisetopsida,Asparagales,Asparagaceae,,,448720,ES,Sansevieria laurentii,,
Plantae,Equisetopsida,Asparagales,Asparagaceae,,446099,455770,ES,Sansevieria metallica,,
Plantae,Equisetopsida,Asparagales,Asparagaceae,,455770,707252,VAR,Sansevieria metallica var. nyasica,,
Plantae,Equisetopsida,Asparagales,Asparagaceae,,,630598,ES,Sansevieria spicata,,
Plantae,Equisetopsida,Asparagales,Asparagaceae,,187434,446099,GN,Sansevieria,,
Plantae,Equisetopsida,Asparagales,Asparagaceae,,,630598,ES,Sansevieria thyrsiflora,,
Plantae,Equisetopsida,Asparagales,Asparagaceae,,447703,448719,CAR,Sansevieria trifasciata 'Hahnii',,
Plantae,Equisetopsida,Asparagales,Asparagaceae,,447703,448720,CAR,Sansevieria trifasciata 'Laurentii',,
Plantae,Equisetopsida,Asparagales,Asparagaceae,,446099,447703,ES,Sansevieria trifasciata,,
Plantae,Equisetopsida,Asparagales,Asparagaceae,,447703,448718,VAR,Sansevieria trifasciata var. trifasciata,,
